,Seed,Linkage Method,Cluster Color Percentage,Number of Clusters
187,46,ward,"{1: {'green': 91.43, 'red': 8.57}, 2: {'red': 100.0}}",2
188,47,single,"{1: {'green': 31.58, 'red': 68.42}, 2: {'green': 97.4, 'red': 2.6}}",2
189,47,complete,"{1: {'green': 75.65, 'red': 24.35}, 2: {}}",2
190,47,average,"{1: {'green': 31.58, 'red': 68.42}, 2: {'green': 97.4, 'red': 2.6}}",2
191,47,ward,"{1: {'green': 31.58, 'red': 68.42}, 2: {'green': 97.4, 'red': 2.6}}",2
192,48,single,"{1: {'green': 80.0, 'red': 20.0}, 2: {'green': 4.84, 'red': 95.16}}",2
193,48,complete,"{1: {'green': 80.0, 'red': 20.0}, 2: {'green': 4.84, 'red': 95.16}}",2
194,48,average,"{1: {'green': 80.0, 'red': 20.0}, 2: {'green': 4.84, 'red': 95.16}}",2
195,48,ward,"{1: {'green': 80.0, 'red': 20.0}, 2: {'green': 4.84, 'red': 95.16}}",2
196,49,single,"{1: {'green': 2.9, 'red': 97.1}, 2: {'green': 72.22, 'red': 27.78}}",2
197,49,complete,"{1: {'green': 26.67, 'red': 73.33}, 2: {}}",2
198,49,average,"{1: {'green': 72.22, 'red': 27.78}, 2: {'green': 2.9, 'red': 97.1}}",2
199,49,ward,"{1: {'green': 72.22, 'red': 27.78}, 2: {'green': 2.9, 'red': 97.1}}",2
